[dotenv@17.3.1] injecting env (18) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
✅ Background jobs started
✅ SKU Tracking System initialized
✅ Server running on port 4000
✅ MongoDB connected
✅ Default categories and brands seeded
>>> 2026-09-13T14:45:23.793Z GET /allproducts from ::1
>>> 2026-09-13T14:45:24.014Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:46:23.788Z GET /allproducts from ::1
>>> 2026-09-13T14:46:24.003Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:47:12.035Z GET /user/profile from ::1
>>> 2026-09-13T14:47:12.043Z POST /getcart from ::1
>>> 2026-09-13T14:47:12.045Z GET /userfavorites from ::1
>>> 2026-09-13T14:47:12.176Z GET /allproducts from ::1
>>> 2026-09-13T14:47:12.213Z GET /allproducts from ::1
>>> 2026-09-13T14:47:14.595Z POST /getcart from ::1
>>> 2026-09-13T14:47:14.629Z GET /allproducts from ::1
>>> 2026-09-13T14:47:14.646Z GET /user/profile from ::1
>>> 2026-09-13T14:47:14.652Z GET /userfavorites from ::1
>>> 2026-09-13T14:47:14.738Z GET /allproducts from ::1
>>> 2026-09-13T14:47:14.779Z GET /allproducts from ::1
>>> 2026-09-13T14:47:23.794Z GET /allproducts from ::1
>>> 2026-09-13T14:47:23.984Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:48:11.048Z GET /allproducts from ::1
>>> 2026-09-13T14:48:23.802Z GET /allproducts from ::1
>>> 2026-09-13T14:48:23.999Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:49:23.789Z GET /allproducts from ::1
>>> 2026-09-13T14:49:24.005Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:49:44.401Z GET /allproducts from ::1
>>> 2026-09-13T14:49:50.385Z GET /allproducts from ::1
>>> 2026-09-13T14:50:23.784Z GET /allproducts from ::1
>>> 2026-09-13T14:50:23.814Z GET /allproducts from ::1
>>> 2026-09-13T14:50:23.934Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:50:28.829Z GET /allproducts from ::1
>>> 2026-09-13T14:51:10.110Z GET /allproducts from ::1
>>> 2026-09-13T14:51:14.231Z GET /allproducts from ::1
>>> 2026-09-13T14:51:23.790Z GET /allproducts from ::1
>>> 2026-09-13T14:51:23.981Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:51:36.647Z GET /allproducts from ::1
>>> 2026-09-13T14:51:40.557Z GET /allproducts from ::1
>>> 2026-09-13T14:52:23.779Z GET /allproducts from ::1
>>> 2026-09-13T14:52:23.940Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:53:23.795Z GET /allproducts from ::1
>>> 2026-09-13T14:53:23.983Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:53:56.091Z GET /allproducts from ::1
>>> 2026-09-13T14:53:58.868Z POST /getcart from ::1
>>> 2026-09-13T14:53:58.910Z GET /userfavorites from ::1
>>> 2026-09-13T14:53:58.912Z GET /user/profile from ::1
>>> 2026-09-13T14:53:59.002Z GET /allproducts from ::1
>>> 2026-09-13T14:53:59.051Z GET /allproducts from ::1
>>> 2026-09-13T14:53:59.952Z GET /allproducts from ::1
>>> 2026-09-13T14:53:59.990Z GET /allproducts from ::1
>>> 2026-09-13T14:54:04.818Z POST /getcart from ::1
>>> 2026-09-13T14:54:04.857Z GET /user/profile from ::1
>>> 2026-09-13T14:54:04.897Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:04.899Z POST /getcart from ::1
>>> 2026-09-13T14:54:04.901Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:04.949Z GET /user/profile from ::1
>>> 2026-09-13T14:54:04.987Z GET /allproducts from ::1
>>> 2026-09-13T14:54:05.262Z GET /allproducts from ::1
>>> 2026-09-13T14:54:05.299Z GET /allproducts from ::1
>>> 2026-09-13T14:54:05.305Z GET /allproducts from ::1
>>> 2026-09-13T14:54:06.025Z GET /allproducts from ::1
>>> 2026-09-13T14:54:06.063Z GET /allproducts from ::1
>>> 2026-09-13T14:54:09.317Z POST /getcart from ::1
>>> 2026-09-13T14:54:09.357Z POST /getcart from ::1
>>> 2026-09-13T14:54:09.362Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:09.363Z GET /user/profile from ::1
>>> 2026-09-13T14:54:09.365Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:09.440Z GET /user/profile from ::1
>>> 2026-09-13T14:54:09.479Z GET /allproducts from ::1
>>> 2026-09-13T14:54:09.569Z GET /allproducts from ::1
>>> 2026-09-13T14:54:09.575Z GET /allproducts from ::1
>>> 2026-09-13T14:54:09.576Z GET /allproducts from ::1
>>> 2026-09-13T14:54:11.024Z GET /allproducts from ::1
>>> 2026-09-13T14:54:11.061Z GET /allproducts from ::1
>>> 2026-09-13T14:54:14.139Z POST /getcart from ::1
>>> 2026-09-13T14:54:14.186Z POST /getcart from ::1
>>> 2026-09-13T14:54:14.223Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:14.228Z GET /user/profile from ::1
>>> 2026-09-13T14:54:14.231Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:14.274Z GET /user/profile from ::1
>>> 2026-09-13T14:54:14.316Z GET /allproducts from ::1
>>> 2026-09-13T14:54:14.399Z GET /allproducts from ::1
>>> 2026-09-13T14:54:14.409Z GET /allproducts from ::1
>>> 2026-09-13T14:54:14.414Z GET /allproducts from ::1
>>> 2026-09-13T14:54:23.792Z GET /allproducts from ::1
>>> 2026-09-13T14:54:24.000Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:54:41.342Z GET /allproducts from ::1
>>> 2026-09-13T14:54:41.362Z GET /userfavorites from ::1
>>> 2026-09-13T14:54:41.370Z GET /user/profile from ::1
>>> 2026-09-13T14:54:41.373Z POST /getcart from ::1
>>> 2026-09-13T14:54:41.496Z GET /allproducts from ::1
>>> 2026-09-13T14:54:41.735Z GET /allproducts from ::1
>>> 2026-09-13T14:55:23.791Z GET /allproducts from ::1
>>> 2026-09-13T14:55:23.978Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:56:23.796Z GET /allproducts from ::1
>>> 2026-09-13T14:56:23.992Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:57:23.786Z GET /allproducts from ::1
>>> 2026-09-13T14:57:23.955Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:58:23.793Z GET /allproducts from ::1
>>> 2026-09-13T14:58:23.968Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T14:59:23.786Z GET /allproducts from ::1
>>> 2026-09-13T14:59:23.971Z GET /admin/orders?limit=30 from ::1
